name,email,phone,website,address,city,postal_code,country,country_code,category,type,register_number,aum,aum_date,tier,notes,pipeline_stage
"TESYS ACTIVOS FINANCIEROS SGIIC, SOCIEDAD LIMITADA",,,,"Paseo de la Habana, nº 15, 3º Izq.",MADRID,28036,Espagne,ES,SGIIC,fournisseur,296,,,Tier 3,Tier 3. Registro CNMV: 296,prospect
"TREA ASSET MANAGEMENT S.G.I.I.C., S.A.",info@trea-am.com,+34 91 781 13 00,https://www.trea-am.com,"ORTEGA Y GASSET, 20",MADRID,28006,Espagne,ES,SGIIC,fournisseur,113,,,Tier 3,Tier 3. Registro CNMV: 113,prospect
"TRESSIS GESTION, S.G.I.I.C., S.A.",,,,Calle Jorge Manrique Nº 12,MADRID,28006,Espagne,ES,SGIIC,fournisseur,223,,,Tier 3,Tier 3. Registro CNMV: 223,prospect
"TRUE VALUE INVESTMENTS, SGIIC, S.A.",,,,"Calle Serrano,111. Bajo izquierda",MADRID,28001,Espagne,ES,SGIIC,fournisseur,275,,,Tier 3,Tier 3. Registro CNMV: 275,prospect
"UBS WEALTH MANAGEMENT, S.G.I.I.C., S.A.",,,,"AYALA, 42, 5ª PLANTA-A",MADRID,28001,Espagne,ES,SGIIC,fournisseur,173,,,Tier 3,Tier 3. Registro CNMV: 173,prospect
"UNICAJA ASSET MANAGEMENT, S.G.I.I.C., S.A.",info@unicaja.es,,https://www.unicaja.es,"AVENIDA DE ANDALUCIA, 10-12",MALAGA,29007,Espagne,ES,SGIIC,fournisseur,154,,,Tier 3,Tier 3. Registro CNMV: 154,prospect
"URQUIJO GESTION, S.A., S.G.I.I.C., SOCIEDAD UNIPERSONAL",,,,"SERRANO, 71, 1ª",MADRID,28006,Espagne,ES,SGIIC,fournisseur,1,,,Tier 3,Tier 3. Registro CNMV: 1,prospect
"VALENTUM ASSET MANAGEMENT, SGIIC, S.A.",,,,"CALLE CASTELLO 128, 9ª PLANTA",MADRID,28006,Espagne,ES,SGIIC,fournisseur,266,,,Tier 3,Tier 3. Registro CNMV: 266,prospect
"VARIANZA GESTION, SGIIC, S.A.",,,,CALLE ZURBANO 23 1º IZQUIERDA,MADRID,28010,Espagne,ES,SGIIC,fournisseur,250,,,Tier 3,Tier 3. Registro CNMV: 250,prospect
"WELCOME ASSET MANAGEMENT, SGIIC, S.A.",,,,"PASEO DE LA CASTELLANA, 110, 4ª PLANTA",MADRID,28046,Espagne,ES,SGIIC,fournisseur,78,,,Tier 3,Tier 3. Registro CNMV: 78,prospect
"WELZIA MANAGEMENT, SGIIC, S.A.",,,,"CONDE DE ARANDA, 24 - 4ª PL",MADRID,28001,Espagne,ES,SGIIC,fournisseur,207,,,Tier 3,Tier 3. Registro CNMV: 207,prospect
"WHITEHOLE INVESTMENT PARTNERS, SGIIC, S.A.",,,,"PLAZA EUSKADI 5 TORRE IBERDROLA, PLANTA 20",VIZCAYA,48009,Espagne,ES,SGIIC,fournisseur,290,,,Tier 3,Tier 3. Registro CNMV: 290,prospect
